A	2023-08-18	127.38	0.308792	0.307993	125.0P 125.0C 130.0C 130.0P	1998895.291909
AA	2023-07-28	35.36	0.51670775	0.5159024999999999	35.5P 35.5C 35.0C 35.0P	184494.009901
AAC	2023-08-18	10.59	0.65503075	0.451889	10.0C 10.0P 12.5P 12.5C	1998893.328311
AAL	2023-07-28	16.615	0.43168625	0.4351315	16.5P 16.5C 17.0C 17.0P	184492.319422
AAN	2023-08-18	15.74	0.6893593333333333	0.667272	15.0C 15.0P 17.5P 17.5C	1998891.606636
AAOI	2023-08-18	8.09	1.5089805	1.5129195000000002	7.5C 7.5P 10.0P 10.0C	1998890.852873
AAON	2023-08-18	100.5	0.35888175	0.364216	100.0C 100.0P 105.0P 105.0C	1998889.955927
AAP	2023-07-28	73.15	0.50160725	0.501628	73.0C 73.0P 73.5C 73.5P	184488.835655
AAPB	2023-08-18	29.279	0.439226	0.470529	29.0C 29.0P 30.0P 30.0C	1998887.960145
AAPD	2023-08-18	20.075	0.637089	0.298931	20.0C 20.0P 21.0P 21.0C	1998887.105212
AAPL	2023-07-28	194.391	0.24307025	0.2431535	195.0P 195.0C 192.5P 192.5C	184485.830826
AAPU	2023-08-18	29.1396	0.7853123333333333	0.944558	29.0P 29.0C 30.0P 30.0C	1998884.908847
AAT	2023-08-18	22.73	0.55955525	0.59914	22.5P 22.5C 25.0C 25.0P	1998884.114979
AAXJ	2023-08-18	69.24	0.18178675	0.181897	69.0C 69.0P 70.0P 70.0C	1998883.140463
AB	2023-08-18	34.1	0.35949725	0.38426000000000005	35.0C 35.0P 30.0C 30.0P	1998882.457793
ABBV	2023-07-28	141.76	0.618167	0.6179645	142.0C 142.0P 141.0P 141.0C	184481.095576
ABC	2023-07-28	188.265	0.2216295	0.21859800000000001	190.0P 190.0C 185.0C 185.0P	184480.107117
ABCB	2023-08-18	41.76	0.42079625	0.4284505	40.0P 40.0C 45.0C 45.0P	1998879.42074
ABCL	2023-08-18	7.67	0.6086665	0.611784	8.0P 8.0C 7.0P 7.0C	1998878.619965
ABCM	2023-08-18	23.455	0.83512175	0.7783955	22.5C 22.5P 25.0P 25.0C	1998877.832512
ABG	2023-08-18	219.11	0.33516	0.34010450000000003	220.0P 220.0C 210.0C 210.0P	1998876.803929
ABM	2023-08-18	45.55	0.27590375	0.2578925	45.0P 45.0C 50.0P 50.0C	1998876.080017
ABNB	2023-07-28	147.71	0.44695324999999997	0.446895	148.0C 148.0P 147.0C 147.0P	184474.494282
ABOS	2023-08-18	7.18	1.1100413333333332	1.131352	7.5C 7.5P 5.0P 5.0C	1998873.81705
ABR	2023-08-18	16.355	0.40097825	0.386357	17.5C 17.5P 15.0C 15.0P	1998873.082592
ABST	2023-08-18	11.5	0.6444523333333334	0.305109	12.5C 12.5P 10.0C 10.0P	1998872.355238
ABT	2023-07-28	113.7658	0.21712725	0.2160645	114.0P 114.0C 113.0C 113.0P	184471.122019
ACA	2023-08-18	76.415	0.27095275	0.3320235	75.0C 75.0P 80.0C 80.0P	1998870.294242
ACAD	2023-08-18	29.2447	0.46689975	0.467189	29.0P 29.0C 30.0C 30.0P	1998869.214074
ACCD	2023-08-18	13.97	0.6363840000000001	0.6365810000000001	15.0C 15.0P 12.5P 12.5C	1998868.515681
ACCO	2023-08-18	5.835	0.65468075	0.644537	5.0P 5.0C 7.5C 7.5P	1998867.866113
ACDC	2023-08-18	12.825	0.62930825	0.6386245	12.5C 12.5P 15.0P 15.0C	1998867.112997
ACEL	2023-08-18	11.37	0.5722585	0.5945590000000001	12.5C 12.5P 10.0P 10.0C	1998866.39626
ACES	2023-08-18	47.84	0.2602955	0.26710100000000003	48.0C 48.0P 47.0C 47.0P	1998865.627615
ACGL	2023-08-18	82.39	0.25661825	0.254471	80.0P 80.0C 85.0C 85.0P	1998864.863184
