ACWV	2023-08-18	98.95	0.05964333333333333	0.031383	99.0P 99.0C 98.0P 98.0C	1484048.318468
ACWX	2023-08-18	50.435	0.112606	0.1259365	50.0C 50.0P 51.0C 51.0P	1484047.444726
ADBE	2023-08-04	546.76	0.32270325	0.3226145	545.0P 545.0C 550.0P 550.0C	274445.642366
ADC	2023-08-18	64.56	0.28680375	0.235829	65.0P 65.0C 60.0P 60.0C	1484044.144429
ADEA	2023-08-18	12.135	0.9311545	0.9362280000000001	12.5C 12.5P 10.0P 10.0C	1484043.468616
ADI	2023-08-04	198.88	0.3171465	0.317086	200.0P 200.0C 197.5C 197.5P	274442.281063
ADM	2023-08-04	84.295	0.22588724999999998	0.22579	84.0C 84.0P 85.0P 85.0C	274440.99938
ADNT	2023-08-18	42.705	0.477088	0.48021	45.0P 45.0C 40.0P 40.0C	1484040.269229
ADP	2023-08-04	247.725	0.19521675	0.193406	247.5P 247.5C 250.0C 250.0P	274439.010661
ADPT	2023-08-18	8.22	0.776686	0.8367755	7.5P 7.5C 10.0P 10.0C	1484038.339727
ADSK	2023-08-04	211.8	0.33425175	0.33542950000000005	212.5P 212.5C 210.0C 210.0P	274436.937235
ADT	2023-08-18	6.385	0.56487225	0.5622905	6.0P 6.0C 7.0P 7.0C	1484036.092512
ADTN	2023-08-18	9.81	0.6412562500000001	0.6442035	10.0C 10.0P 9.0P 9.0C	1484035.107242
ADUS	2023-08-18	93.04	0.347538	0.3326555	95.0C 95.0P 90.0C 90.0P	1484034.205485
AEE	2023-08-18	85.11	0.20063550000000002	0.1961825	85.0C 85.0P 90.0P 90.0C	1484033.224193
AEHR	2023-08-18	53.9	0.7332529999999999	0.732479	55.0P 55.0C 50.0C 50.0P	1484032.444177
AEIS	2023-08-18	124.775	0.42450025	0.42164100000000004	125.0P 125.0C 120.0P 120.0C	1484031.549736
AEL	2023-08-18	53.43	0.12276366666666667	0.149128	55.0C 55.0P 50.0P 50.0C	1484030.729879
AEM	2023-08-18	51.04	0.327239	0.33092	50.0C 50.0P 55.0P 55.0C	1484029.893096
AEO	2023-08-04	14.46	0.4394985	0.43552250000000003	14.5C 14.5P 14.0C 14.0P	274428.757436
AEP	2023-08-18	84.02	0.19581225000000002	0.193235	85.0C 85.0P 82.5C 82.5P	1484027.767696
AER	2023-08-18	63.83	0.254993	0.254779	65.0P 65.0C 62.5C 62.5P	1484026.922407
AES	2023-08-18	21.025	0.3276	0.3299535	21.0C 21.0P 22.0P 22.0C	1484026.070761
